Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
Brooklyn Nets,1.0,0.5,,0.75,0.5,0.75,0.5,1.0,0.6667,0.0,0.5,0.3333,0.0,1.0,0.5,0.5,0.25,0.0,0.5,0.75,0.0,0.6667,0.5,1.0,0.0,1.0,0.5,0.25,0.0,0.5
Chicago Bulls,0.5,0.3333,0.25,,0.3333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.0,0.3333,0.5,0.5,0.25,1.0,0.0,0.0,0.5,0.0,0.0,0.75
Charlotte Hornets,0.75,0.5,0.5,0.6667,,0.75,0.0,0.5,1.0,0.0,0.0,0.3333,0.0,0.0,1.0,0.5,0.25,0.5,0.5,0.6667,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.6667,0.0,0.75
Cleveland Cavaliers,0.3333,0.0,0.25,0.25,0.25,,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.5,0.5,0.0,0.25,0.0,0.0,1.0,0.0,0.3333,0.3333,0.5,0.0,0.0,0.0,0.25,0.0,0.5
Dallas Mavericks,0.5,0.5,0.5,1.0,1.0,1.0,,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,0.0,0.6667,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.5
Denver Nuggets,0.5,1.0,0.0,1.0,0.5,1.0,1.0,,0.5,0.25,0.25,0.5,0.75,0.6667,0.6667,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.5,1.0,0.25,0.5
Detroit Pistons,0.6667,0.25,0.3333,1.0,0.0,0.75,0.5,0.5,,0.5,0.5,0.25,0.5,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.75,0.25,1.0,0.5,0.0,0.0,1.0,0.0,0.6667
Golden State Warriors,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.75,0.5,,0.25,1.0,0.75,0.75,0.75,0.5,0.5,0.75,1.0,1.0,0.6667,0.5,0.5,0.75,0.5,1.0,0.3333,0.0,0.6667,1.0
Houston Rockets,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.75,0.5,0.75,,1.0,0.3333,0.75,0.75,0.5,0.0,0.3333,0.5,1.0,0.25,0.5,0.5,1.0,0.3333,1.0,0.75,1.0,0.5,0.5
Indiana Pacers,1.0,0.25,0.6667,1.0,0.6667,0.75,0.5,0.5,0.75,0.0,0.0,,0.5,0.5,0.5,1.0,0.25,0.5,1.0,1.0,0.5,0.25,0.25,1.0,0.0,0.5,0.5,0.3333,1.0,0.75
Los Angeles Clippers,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.25,0.6667,0.5,,0.5,0.75,0.5,0.5,0.6667,0.3333,1.0,0.5,1.0,0.0,1.0,0.25,1.0,0.5,0.0,0.3333,0.5
Los Angeles Lakers,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.3333,0.5,0.25,0.25,0.5,0.5,,0.3333,1.0,0.0,0.25,0.75,0.0,0.3333,0.0,0.0,0.75,0.5,0.75,0.25,0.0,0.5,0.5
Memphis Grizzlies,0.5,0.0,0.5,0.0,0.0,0.5,0.75,0.3333,0.0,0.25,0.25,0.5,0.25,0.6667,,0.0,0.5,0.5,0.5,0.5,0.3333,0.5,0.5,0.6667,0.5,0.25,0.5,0.0,0.75,0.5
Miami Heat,0.25,0.25,0.5,0.6667,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,1.0,,0.25,0.0,1.0,1.0,0.5,0.25,0.3333,0.5,1.0,0.0,1.0,0.0,0.5,0.75
Milwaukee Bucks,0.75,0.6667,0.75,1.0,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.75,0.5,1.0,0.5,0.75,,1.0,1.0,0.75,0.0,0.6667,0.6667,0.0,0.5,1.0,0.5,0.75,0.5,0.6667
Minnesota Timberwolves,0.0,0.0,1.0,1.0,0.5,1.0,0.3333,0.0,0.0,0.25,0.6667,0.5,0.3333,0.75,0.5,1.0,0.0,,0.5,1.0,0.75,0.5,0.0,0.6667,0.25,0.5,0.25,0.0,0.25,0.5
New Orleans Pelicans,0.0,0.0,0.5,1.0,0.5,1.0,0.75,0.5,0.5,0.0,0.5,0.0,0.6667,0.25,0.5,0.0,0.0,0.5,,0.5,0.5,0.0,0.0,0.5,0.0,0.75,0.25,0.5,0.3333,0.5
New York Knicks,0.75,0.25,0.25,0.6667,0.3333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.25,0.0,0.5,,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25
Oklahoma City Thunder,0.5,0.0,1.0,0.5,1.0,1.0,0.25,0.0,1.0,0.3333,0.75,0.5,0.5,0.6667,0.6667,0.5,1.0,0.25,0.5,1.0,,1.0,0.5,1.0,1.0,0.25,0.3333,0.5,1.0,0.5
Orlando Magic,1.0,1.0,0.3333,0.5,0.5,0.6667,0.5,0.0,0.25,0.5,0.5,0.75,0.0,1.0,0.5,0.75,0.3333,0.5,1.0,0.75,0.0,,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.25
Philadelphia 76ers,0.25,0.25,0.5,0.75,1.0,0.6667,0.5,0.5,0.75,0.5,0.5,0.75,1.0,1.0,0.5,0.6667,0.3333,1.0,1.0,1.0,0.5,0.5,,1.0,0.0,0.5,0.5,0.25,1.0,0.6667
Phoenix Suns,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.3333,0.5,1.0,0.3333,0.5,1.0,0.0,0.5,0.0,,0.0,0.25,0.25,0.0,0.0,0.0
Portland Trail Blazers,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.5,0.6667,1.0,0.75,0.5,0.5,0.0,0.5,0.75,1.0,1.0,0.0,1.0,1.0,1.0,,0.6667,0.5,0.5,0.5,0.5
Sacramento Kings,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.25,0.75,1.0,0.0,0.5,0.25,1.0,0.75,1.0,0.5,0.75,0.3333,,1.0,0.0,0.25,0.5
San Antonio Spurs,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.6667,0.25,0.5,0.5,0.75,0.5,0.0,0.5,0.75,0.75,0.5,0.6667,0.5,0.5,0.75,0.5,0.0,,0.5,0.3333,1.0
Toronto Raptors,1.0,0.5,0.75,1.0,0.3333,0.75,1.0,0.0,0.0,1.0,0.0,0.6667,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,0.5,0.5,0.75,1.0,0.5,1.0,0.5,,1.0,1.0
Utah Jazz,0.5,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.3333,0.5,0.0,0.6667,0.5,0.25,0.5,0.5,0.75,0.6667,1.0,0.0,0.5,0.0,1.0,0.5,0.75,0.6667,0.0,,1.0
Washington Wizards,0.5,0.0,0.5,0.25,0.25,0.5,0.5,0.5,0.3333,0.0,0.5,0.25,0.5,0.5,0.5,0.25,0.3333,0.5,0.5,0.75,0.5,0.75,0.3333,1.0,0.5,0.5,0.0,0.0,0.0,
Atlanta Hawks,,0.25,0.25,0.0,0.0,0.25,1.0,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.25,0.0,0.5,0.5,0.6667,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5
Boston Celtics,0.75,,1.0,0.75,1.0,0.3333,1.0,1.0,0.6667,0.5,0.5,0.5,0.5,0.5,1.0,0.3333,0.5,1.0,0.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.5,0.5,0.25
Brooklyn Nets,0.75,0.0,,1.0,0.3333,0.25,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.3333,0.5,0.0,0.0,0.5,0.75,0.25,0.5,0.5,0.0,0.0,0.0,0.5,0.6667
Chicago Bulls,1.0,0.25,0.0,,0.75,0.0,1.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.0,0.25,0.5,0.5,0.0,0.75,0.0,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.5,0.3333
Charlotte Hornets,1.0,0.0,0.6667,0.25,,0.0,0.5,0.5,0.6667,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.75
Cleveland Cavaliers,0.75,0.6667,0.75,1.0,1.0,,1.0,0.5,0.75,0.0,0.0,0.25,0.5,0.5,1.0,0.6667,0.75,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.6667,0.5,0.75
Dallas Mavericks,0.0,0.0,0.0,0.0,0.5,0.0,,0.5,0.5,0.0,0.0,1.0,0.3333,0.25,0.75,0.0,0.5,0.0,0.25,0.5,0.5,0.5,0.0,0.0,0.3333,0.5,0.25,0.5,0.0,1.0
Denver Nuggets,0.5,0.0,1.0,1.0,0.5,0.5,0.5,,1.0,0.5,0.0,0.5,0.3333,0.5,0.75,0.5,1.0,0.25,0.6667,0.5,0.75,1.0,0.0,0.6667,0.75,0.75,0.5,0.5,0.5,0.5
Detroit Pistons,0.75,0.3333,0.75,0.75,0.3333,0.25,0.5,0.0,,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.3333,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.25
Golden State Warriors,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,,0.3333,0.0,0.75,1.0,0.6667,1.0,0.5,0.6667,0.75,1.0,0.5,1.0,1.0,1.0,0.3333,0.5,0.75,1.0,0.25,1.0
Houston Rockets,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6667,,1.0,0.5,0.75,0.5,1.0,1.0,1.0,0.75,1.0,0.3333,1.0,0.5,1.0,1.0,0.6667,0.75,0.0,1.0,0.5
Indiana Pacers,0.75,0.5,1.0,0.75,0.5,0.75,0.0,0.5,0.25,1.0,0.0,,1.0,0.5,1.0,0.5,0.75,0.5,0.0,0.6667,0.0,1.0,0.6667,1.0,0.0,1.0,1.0,0.25,0.5,0.3333
Los Angeles Clippers,1.0,0.5,1.0,1.0,0.5,0.5,0.6667,0.6667,0.5,0.25,0.5,0.0,,0.75,0.5,0.0,1.0,0.0,0.25,0.5,0.0,1.0,0.0,1.0,0.25,1.0,0.3333,1.0,0.25,0.5
Los Angeles Lakers,1.0,0.5,1.0,1.0,0.5,0.5,0.75,0.5,0.5,0.0,0.25,0.5,0.25,,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.75,0.0,0.5,1.0,0.0,0.0,0.5
Memphis Grizzlies,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.3333,0.5,0.0,0.5,0.5,,0.0,0.0,0.6667,0.5,0.5,0.0,0.0,0.5,0.25,0.5,0.6667,0.0,0.0,0.0,0.0
Miami Heat,0.75,0.6667,0.25,0.75,1.0,0.3333,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,1.0,,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.6667,1.0,0.5
Milwaukee Bucks,1.0,0.5,0.6667,0.5,0.5,0.25,0.5,0.0,0.5,0.5,0.0,0.25,0.0,1.0,1.0,0.0,,0.5,0.0,1.0,0.5,0.75,0.5,1.0,1.0,1.0,1.0,0.3333,0.5,0.5
Minnesota Timberwolves,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.75,0.0,0.3333,0.0,0.5,1.0,1.0,0.3333,0.5,0.5,,1.0,1.0,0.75,0.5,0.0,0.5,0.5,1.0,0.3333,0.5,0.5,0.5
New Orleans Pelicans,0.5,1.0,1.0,1.0,1.0,0.5,0.75,0.3333,1.0,0.25,0.25,1.0,0.75,1.0,0.5,1.0,1.0,0.0,,0.5,0.6667,0.5,0.5,1.0,0.5,0.5,0.75,0.0,0.25,0.0
New York Knicks,0.3333,0.25,1.0,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.3333,0.5,0.5,0.5,0.5,0.0,0.0,0.5,,0.5,0.25,0.0,1.0,0.0,0.5,0.0,0.25,1.0,0.3333
Oklahoma City Thunder,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.6667,1.0,1.0,0.5,1.0,1.0,0.5,0.25,0.3333,0.5,,0.5,1.0,0.6667,0.0,0.75,0.5,1.0,0.75,0.5
Orlando Magic,0.5,0.25,0.25,0.0,0.0,0.5,0.5,0.0,0.6667,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.25,0.5,0.5,0.75,0.5,,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25
Philadelphia 76ers,1.0,0.25,0.75,0.6667,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.3333,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,,0.5,0.5,0.0,1.0,0.25,1.0,0.5
Phoenix Suns,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.5,0.0,0.0,0.3333,0.0,0.5,,0.0,0.75,0.0,0.0,0.25,0.5
Portland Trail Blazers,0.5,0.0,0.5,1.0,1.0,0.5,0.6667,0.25,0.5,0.6667,0.0,1.0,0.75,1.0,0.5,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,,0.75,0.3333,0.0,0.5,0.5
Sacramento Kings,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.25,0.0,0.5,0.3333,0.0,0.0,0.5,0.3333,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.25,0.25,,0.0,0.0,0.0,0.0
San Antonio Spurs,0.5,0.5,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.25,0.25,0.0,0.6667,0.0,1.0,1.0,0.0,0.6667,0.25,1.0,0.5,0.5,0.0,1.0,0.6667,1.0,,0.5,0.25,0.5
Toronto Raptors,1.0,0.5,1.0,1.0,1.0,0.3333,0.5,0.5,1.0,0.0,1.0,0.75,0.0,1.0,1.0,0.3333,0.6667,0.5,1.0,0.75,0.0,1.0,0.75,1.0,1.0,1.0,0.5,,0.5,0.5
Utah Jazz,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.75,0.0,0.5,0.75,1.0,1.0,0.0,0.5,0.5,0.75,0.0,0.25,1.0,0.0,0.75,0.5,1.0,0.75,0.5,,1.0
Washington Wizards,0.5,0.75,0.3333,0.6667,0.25,0.25,0.0,0.5,0.75,0.0,0.5,0.6667,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.6667,0.5,0.75,0.5,0.5,0.5,1.0,0.5,0.5,0.0,
Atlanta Hawks,,0.25,0.5,1.0,0.3333,0.5,0.5,0.5,0.6667,0.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.6667,1.0,0.75
Boston Celtics,0.75,,0.25,0.5,0.5,0.5,0.5,0.5,0.3333,0.5,0.5,1.0,0.5,0.5,0.0,0.25,0.25,0.5,0.0,0.25,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.75,1.0,1.0
Brooklyn Nets,0.5,0.75,,1.0,0.25,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.75,1.0,1.0,1.0,0.0,0.75,0.0,0.75
Chicago Bulls,0.0,0.5,0.0,,0.3333,0.3333,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.3333,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.75
Charlotte Hornets,0.6667,0.5,0.75,0.6667,,0.75,0.5,0.0,0.75,1.0,0.0,0.25,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.3333,1.0,0.5
Cleveland Cavaliers,0.5,0.5,0.0,0.6667,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.75,0.25,0.0,0.5,0.0,0.0,0.5,0.5,1.0
Dallas Mavericks,0.5,0.5,0.5,0.5,0.5,1.0,,0.3333,1.0,0.3333,0.75,0.0,0.3333,0.25,0.25,0.0,0.5,0.5,0.75,0.5,0.0,1.0,0.5,0.75,0.75,1.0,0.0,0.5,0.3333,1.0
Denver Nuggets,0.5,0.5,0.5,1.0,1.0,1.0,0.6667,,1.0,0.75,1.0,1.0,0.6667,0.75,0.75,0.0,1.0,0.5,0.6667,0.5,0.75,0.5,0.5,0.6667,0.75,1.0,0.5,0.5,0.75,0.0
Detroit Pistons,0.3333,0.6667,0.0,0.75,0.25,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.75,0.0,0.0,0.0,0.0,0.5,0.6667,0.5,0.5,0.5,0.5,0.5,0.0,1.0
Golden State Warriors,1.0,0.5,1.0,1.0,0.0,1.0,0.6667,0.25,1.0,,0.25,0.5,0.75,0.25,0.0,0.5,0.0,1.0,1.0,0.5,0.25,0.0,0.5,1.0,1.0,0.25,0.5,1.0,0.3333,1.0
Houston Rockets,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.0,1.0,0.75,,0.0,0.3333,0.5,0.25,0.0,0.5,0.6667,0.75,1.0,0.3333,1.0,0.5,0.5,0.5,0.6667,0.25,0.5,0.75,0.5
Indiana Pacers,0.5,0.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0,0.5,1.0,,0.5,0.5,1.0,0.6667,0.5,0.5,1.0,0.5,0.0,0.6667,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.75
Los Angeles Clippers,0.5,0.5,0.5,1.0,1.0,0.5,0.6667,0.3333,1.0,0.25,0.6667,0.5,,1.0,0.75,0.5,1.0,1.0,0.75,1.0,0.0,0.5,1.0,0.75,0.75,0.75,0.5,0.5,1.0,0.5
Los Angeles Lakers,0.5,0.5,1.0,1.0,0.5,0.5,0.75,0.25,1.0,0.75,0.5,0.5,0.0,,0.3333,0.0,0.5,1.0,1.0,0.5,0.25,0.5,0.5,0.5,0.75,0.75,0.3333,0.5,0.3333,0.5
Memphis Grizzlies,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,1.0,0.75,0.0,0.25,0.6667,,0.5,1.0,1.0,0.5,0.5,0.6667,1.0,0.5,0.5,0.75,1.0,0.5,1.0,0.75,0.5
Miami Heat,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.6667,0.5,1.0,0.3333,0.5,1.0,0.5,,0.75,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.75
Milwaukee Bucks,0.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,1.0,0.5,0.5,0.0,0.5,0.0,0.25,,0.0,0.5,0.0,0.5,0.6667,0.75,1.0,1.0,1.0,0.0,1.0,0.5,0.3333
Minnesota Timberwolves,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.3333,0.5,0.0,0.0,0.0,0.0,1.0,,0.75,0.0,0.5,0.5,1.0,0.75,0.0,0.6667,0.5,0.0,0.0,0.5
New Orleans Pelicans,0.5,1.0,0.0,1.0,0.5,0.5,0.25,0.3333,1.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.25,,0.0,0.0,0.5,0.5,0.6667,0.6667,0.6667,0.25,0.0,0.25,0.0
New York Knicks,1.0,0.75,0.5,0.6667,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.75,1.0,1.0,1.0,,0.5,1.0,0.75,1.0,0.0,0.5,1.0,0.5,1.0,0.75
Oklahoma City Thunder,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.25,1.0,0.75,0.6667,1.0,1.0,0.75,0.3333,0.0,0.5,0.5,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5
Orlando Magic,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.5,1.0,0.0,0.3333,0.5,0.5,0.0,0.0,0.3333,0.5,0.5,0.0,0.0,,0.6667,1.0,0.5,0.0,0.0,0.0,0.0,0.5
Philadelphia 76ers,0.5,0.5,0.25,0.75,0.0,0.75,0.5,0.5,0.3333,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.0,0.5,0.25,0.0,0.3333,,0.5,0.5,1.0,0.0,0.75,0.5,0.6667
Phoenix Suns,0.5,0.0,0.0,1.0,0.5,1.0,0.25,0.3333,0.5,0.0,0.5,0.0,0.25,0.5,0.5,0.0,0.0,0.25,0.3333,0.0,0.0,0.0,0.5,,0.6667,0.5,0.3333,0.0,0.25,0.0
Portland Trail Blazers,0.5,0.5,0.0,1.0,1.0,0.5,0.25,0.25,0.5,0.0,0.5,0.5,0.25,0.25,0.25,0.5,0.0,1.0,0.3333,1.0,0.0,0.5,0.5,0.3333,,0.5,0.6667,0.5,0.25,0.0
Sacramento Kings,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.5,0.75,0.3333,0.0,0.25,0.25,0.0,0.0,0.0,0.3333,0.3333,0.5,0.0,1.0,0.0,0.5,0.5,,0.0,1.0,0.5,1.0
San Antonio Spurs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.75,1.0,0.5,0.6667,0.5,0.0,1.0,0.5,0.75,0.0,0.5,1.0,1.0,0.6667,0.3333,1.0,,1.0,0.6667,1.0
Toronto Raptors,0.3333,0.25,0.25,0.5,0.6667,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.25,1.0,0.5,0.0,0.0,,0.0,0.5
Utah Jazz,0.0,0.0,1.0,1.0,0.0,0.5,0.6667,0.25,1.0,0.6667,0.25,0.5,0.0,0.6667,0.25,0.5,0.5,1.0,0.75,0.0,0.25,1.0,0.5,0.75,0.75,0.5,0.3333,1.0,,1.0
Washington Wizards,0.25,0.0,0.25,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.25,0.5,0.5,0.5,0.25,0.6667,0.5,1.0,0.25,0.5,0.5,0.3333,1.0,1.0,0.0,0.0,0.5,0.0,
Atlanta Hawks,,0.75,0.6667,1.0,0.75,0.0,1.0,1.0,0.75,0.0,1.0,0.5,0.5,1.0,1.0,0.25,0.3333,0.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.25,0.5,0.5
Boston Celtics,0.25,,0.5,0.6667,0.6667,0.3333,0.0,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,1.0,0.75,0.5,1.0,0.75,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.25,0.5,1.0
Brooklyn Nets,0.3333,0.5,,0.3333,0.0,0.25,0.0,1.0,0.25,0.0,1.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0
Chicago Bulls,0.0,0.3333,0.6667,,0.25,0.75,0.0,0.5,0.25,0.0,1.0,0.75,0.5,1.0,0.5,0.0,0.75,0.0,1.0,0.25,1.0,0.3333,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.3333
Charlotte Hornets,0.25,0.3333,1.0,0.75,,0.25,0.5,0.0,0.6667,0.0,0.5,1.0,0.0,1.0,1.0,0.5,0.75,1.0,0.5,0.75,0.0,0.75,1.0,0.5,0.5,1.0,0.5,0.3333,0.5,0.5
Cleveland Cavaliers,1.0,0.6667,0.75,0.25,0.75,,1.0,1.0,0.25,0.0,0.5,0.75,1.0,1.0,0.5,0.3333,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.3333,0.5,0.5
Dallas Mavericks,0.0,1.0,1.0,1.0,0.5,0.0,,0.75,0.5,0.25,0.5,0.0,0.25,1.0,0.75,0.0,0.5,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.6667,0.25,0.0,0.0,0.6667,0.5
Denver Nuggets,0.0,0.0,0.0,0.5,1.0,0.0,0.25,,1.0,0.25,1.0,0.5,0.3333,0.75,0.25,0.0,0.5,0.75,0.3333,1.0,0.0,0.0,1.0,0.5,0.25,0.0,0.25,1.0,0.0,1.0
Detroit Pistons,0.25,0.5,0.75,0.75,0.3333,0.75,0.5,0.0,,0.5,1.0,0.25,0.0,0.5,0.0,0.5,0.75,1.0,0.0,0.3333,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.3333,1.0,0.25
