Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,82,19855,.473,13.8,,.620,.307,.127,.089,.096,.380,,.543,.658,.431,.429,.429,.359,,.543,.837,,.058,380,,.289,1184,,.234,.381
2,Boston Celtics*,82,19780,.448,14.0,,.619,.266,.183,.086,.085,.381,,.513,.659,.411,.380,.411,.344,,.498,.844,,.051,333,,.279,1087,,.205,.380
3,Brooklyn Nets*,82,19980,.456,13.4,,.672,.274,.174,.119,.105,.328,,.513,.641,.425,.466,.375,.341,,.489,.788,,.051,331,,.270,1113,,.196,.342
4,Chicago Bulls,82,19905,.473,13.7,,.630,.301,.149,.085,.095,.370,,.537,.669,.410,.428,.417,.365,,.522,.811,,.058,386,,.283,1154,,.205,.410
5,Charlotte Hornets,82,19830,.470,13.7,,.624,.308,.143,.083,.091,.376,,.536,.669,.396,.412,.416,.361,,.522,.865,,.065,433,,.289,1169,,.214,.422
6,Cleveland Cavaliers,82,19755,.495,13.7,,.638,.305,.137,.101,.095,.362,,.561,.699,.429,.439,.433,.380,,.512,.812,,.066,437,,.269,1182,,.221,.407
7,Dallas Mavericks,82,19780,.459,13.8,,.635,.267,.170,.100,.098,.365,,.525,.693,.399,.396,.417,.344,,.516,.820,,.062,407,,.238,986,,.215,.361
8,Denver Nuggets*,82,19730,.458,13.2,,.630,.302,.168,.084,.076,.370,,.528,.666,.408,.428,.360,.339,,.543,.830,,.069,424,,.275,1087,,.254,.382
9,Detroit Pistons*,82,19855,.469,13.1,,.673,.278,.199,.103,.093,.327,,.530,.679,.439,.428,.390,.345,,.522,.817,,.058,355,,.295,1188,,.210,.393
10,Golden State Warriors*,82,19805,.444,14.2,,.632,.245,.190,.101,.095,.368,,.500,.681,.377,.393,.394,.347,,.522,.794,,.051,354,,.255,1045,,.206,.363
11,Houston Rockets*,82,19830,.466,13.0,,.656,.293,.195,.094,.073,.344,,.532,.700,.396,.421,.370,.340,,.504,.817,,.055,360,,.301,1249,,.264,.359
12,Indiana Pacers*,82,19705,.450,13.8,,.627,.307,.146,.083,.091,.373,,.507,.634,.378,.390,.392,.354,,.530,.876,,.061,387,,.275,1034,,.213,.371
13,Los Angeles Clippers*,82,19830,.457,13.1,,.669,.302,.167,.109,.091,.331,,.513,.659,.382,.393,.416,.343,,.504,.799,,.058,401,,.276,1143,,.176,.372
14,Los Angeles Lakers,82,19780,.452,13.4,,.634,.314,.150,.087,.084,.366,,.511,.632,.394,.401,.382,.349,,.510,.818,,.068,435,,.274,1117,,.210,.366
15,Memphis Grizzlies,82,19880,.451,13.8,,.614,.301,.136,.091,.086,.386,,.508,.630,.395,.408,.366,.360,,.522,.850,,.056,337,,.274,996,,.234,.403
16,Miami Heat,82,19730,.441,14.0,,.618,.271,.155,.098,.095,.382,,.493,.607,.396,.413,.407,.358,,.507,.837,,.051,325,,.258,918,,.251,.380
17,Milwaukee Bucks*,82,19780,.433,14.8,,.612,.239,.144,.128,.101,.388,,.479,.616,.361,.408,.414,.361,,.499,.847,,.044,296,,.236,898,,.198,.413
18,Minnesota Timberwolves,82,19830,.467,13.4,,.627,.309,.150,.088,.080,.373,,.520,.657,.381,.398,.387,.378,,.527,.840,,.063,424,,.287,1162,,.239,.409
19,New Orleans Pelicans,82,19755,.466,13.5,,.637,.303,.155,.089,.089,.363,,.525,.664,.400,.403,.390,.364,,.532,.817,,.062,417,,.289,1230,,.212,.394
20,New York Knicks,82,19780,.467,13.3,,.636,.330,.135,.085,.086,.364,,.527,.650,.395,.424,.364,.363,,.526,.828,,.062,402,,.298,1210,,.233,.402
21,Oklahoma City Thunder*,82,19855,.460,13.1,,.644,.331,.139,.089,.084,.356,,.517,.628,.400,.411,.390,.356,,.536,.804,,.064,403,,.293,1138,,.242,.382
22,Orlando Magic*,82,19780,.456,13.6,,.656,.271,.173,.115,.097,.344,,.513,.663,.394,.400,.440,.347,,.494,.815,,.051,318,,.275,1071,,.189,.380
23,Philadelphia 76ers*,82,19805,.455,13.2,,.672,.292,.184,.092,.104,.328,,.511,.656,.394,.413,.396,.342,,.492,.770,,.057,385,,.284,1123,,.171,.344
24,Phoenix Suns,82,19880,.482,12.7,,.661,.341,.154,.080,.085,.339,,.538,.654,.418,.399,.423,.372,,.535,.823,,.073,479,,.301,1208,,.201,.419
25,Portland Trail Blazers*,82,19855,.457,13.3,,.669,.299,.150,.109,.111,.331,,.505,.633,.411,.390,.399,.359,,.475,.823,,.047,312,,.268,1086,,.175,.364
26,Sacramento Kings,82,19730,.466,13.6,,.618,.296,.169,.075,.078,.382,,.540,.696,.405,.394,.381,.348,,.505,.784,,.064,420,,.290,1225,,.220,.357
27,San Antonio Spurs*,82,19805,.463,14.0,,.636,.256,.176,.100,.104,.364,,.522,.659,.416,.465,.423,.359,,.503,.829,,.047,308,,.258,1050,,.196,.401
28,Toronto Raptors*,82,19880,.449,13.3,,.652,.287,.171,.107,.087,.348,,.505,.638,.386,.442,.378,.345,,.514,.872,,.053,359,,.271,1045,,.243,.362
29,Utah Jazz*,82,19755,.452,13.1,,.687,.259,.206,.122,.100,.313,,.496,.640,.406,.407,.418,.355,,.463,.778,,.051,333,,.275,1021,,.191,.348
30,Washington Wizards,82,19930,.480,13.5,,.638,.314,.155,.080,.089,.362,,.542,.700,.367,.386,.429,.370,,.519,.824,,.066,452,,.305,1276,,.191,.391